time,game,money_spent,balance
30/10/2024 23:38:41,slotMachine,20,1260
30/10/2024 23:38:44,slotMachine,20,1240
30/10/2024 23:38:45,slotMachine,20,1220
30/10/2024 23:38:46,slotMachine,20,1200
30/10/2024 23:38:46,slotMachine,20,1180
30/10/2024 23:57:42,flip_coin,100,500
31/10/2024 00:21:30,slotMachine,20,380
31/10/2024 00:21:31,slotMachine,20,360
31/10/2024 00:21:31,slotMachine,20,340
31/10/2024 00:21:32,slotMachine,20,320
31/10/2024 00:21:32,slotMachine,20,300
31/10/2024 00:21:33,slotMachine,20,280
31/10/2024 00:22:06,slotMachine,20,80
31/10/2024 00:22:07,slotMachine,20,60
31/10/2024 00:22:08,slotMachine,20,40
31/10/2024 00:22:08,slotMachine,20,320
31/10/2024 00:22:09,slotMachine,20,300
31/10/2024 00:22:10,slotMachine,20,10880
31/10/2024 00:22:11,slotMachine,20,10860
31/10/2024 00:22:29,slotMachine,20,20840
31/10/2024 00:22:30,slotMachine,20,20820
31/10/2024 00:22:30,slotMachine,20,21100
31/10/2024 00:22:30,slotMachine,20,21380
31/10/2024 00:22:30,slotMachine,20,21360
31/10/2024 00:38:28,slotMachine,20,21340
31/10/2024 00:38:29,slotMachine,20,21320
31/10/2024 00:38:30,slotMachine,20,21600
31/10/2024 00:38:30,slotMachine,20,21580
31/10/2024 00:38:31,slotMachine,20,21860
31/10/2024 00:38:32,slotMachine,20,21840
31/10/2024 00:38:32,slotMachine,20,21820
31/10/2024 00:38:33,slotMachine,20,21800
31/10/2024 00:38:33,slotMachine,20,21780
31/10/2024 00:38:34,slotMachine,20,21760
31/10/2024 00:38:34,slotMachine,20,21740
31/10/2024 00:38:34,slotMachine,20,21720
31/10/2024 00:38:34,slotMachine,20,21700
31/10/2024 00:38:35,slotMachine,20,21680
31/10/2024 00:38:35,slotMachine,20,21660
31/10/2024 00:38:35,slotMachine,20,22240
31/10/2024 00:38:35,slotMachine,20,22220
31/10/2024 00:38:36,slotMachine,20,22200
31/10/2024 00:38:36,slotMachine,20,22180
31/10/2024 00:38:36,slotMachine,20,22160
31/10/2024 00:38:36,slotMachine,20,22740
31/10/2024 00:38:36,slotMachine,20,22720
31/10/2024 00:38:37,slotMachine,20,22700
31/10/2024 00:38:37,slotMachine,20,22680
31/10/2024 00:38:37,slotMachine,20,22660
31/10/2024 00:38:38,slotMachine,20,22640
31/10/2024 00:38:38,slotMachine,20,22620
31/10/2024 00:38:38,slotMachine,20,22600
31/10/2024 00:38:38,slotMachine,20,22880
31/10/2024 17:38:15,slotMachine,20,22860
31/10/2024 17:38:21,slotMachine,20,22840
31/10/2024 17:39:05,flip_coin,20000,62840
31/10/2024 17:39:20,slotMachine,20,62820
31/10/2024 17:40:07,slotMachine,20,63400
31/10/2024 17:40:11,slotMachine,20,63380
